Departamento:,Provincia:,Municipio:,Ciudad/localidad:,Distrito:,Distrito municipal:,DM Otro:,UV:,Barrio:,Institución:,Otro:,Fecha:,Turno:,Técnico 1:,Técnico 2:,Supervisor:,_id,_uuid,_submission_time,_index
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,100,,Municipio,,2023-02-12 00:00:00,Mañana,,,Doctora Isabela vallejos,218725210,ecec7a6e-8dfb-488e-85f5-999250221293,2023-02-12 13:58:33,77
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM 7,DM 7,,100,Espinalito,Municipio,,2023-02-12 00:00:00,Mañna,,Cristina China Aeguazu,Dr Mercedes,218725244,ae9a215e-4c43-46b3-9888-ba7f50d5023b,2023-02-12 13:58:57,78
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,,Avenida tres pasos al frente,SEDES,,2023-02-12 00:00:00,Mañana,,,,218725245,f03415f2-63ba-45d9-ba59-9d892333a8bf,2023-02-12 13:58:57,79
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,85,,Municipio,,2023-02-12 00:00:00,Mañana,,,"Doctora Camacho,Doctor Flores",218725354,ab3122c0-dd04-43de-9a1e-d22ed64eeaa1,2023-02-12 13:59:41,80
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM6,DM 6,,153,,Municipio,,2023-02-12 00:00:00,Mañana,Karen duri,,,218725357,cd62d815-188d-4f78-9621-d2610e45f717,2023-02-12 13:59:42,81
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,6,DM 6,,Barrio Venezuela calle 2,Venezuela,Municipio,,2023-02-12 00:00:00,Mañana,Leidy Laura Vallejos,Bella Lud Vaca,,218725373,b6f027df-1972-4576-a06b-82732a173827,2023-02-12 14:00:00,82
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,100,Banzer,SEDES,,2023-02-12 00:00:00,mañana,Dayana Álvarez,Juanita Arce,Isabel Vallejos,218725423,2a59e382-9b23-4b23-9dcf-ce063d9d86d8,2023-02-12 14:00:20,83
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 7,,85,Navidad,SEDES,,2023-02-12 00:00:00,Mañana,,,"Doctora Camacho, doctor flores",218725434,8cc3c8af-aec4-40d6-b16d-d9d8de514072,2023-02-12 14:00:29,84
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,DM7,DM 7,,100,Espinalito,Municipio,,2023-02-12 00:00:00,Mañana,,Adela Gardenia flores Rodriguez,Mercedes,218725435,c7224835-8c12-4b27-ba7e-d2253989cb6c,2023-02-12 14:00:29,85
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,Distrito 5,DM 5,,72,Los Tusequi,Municipio,,2023-02-12 00:00:00,Mañana,Victoria López,Nelson Choques,74,218725448,9bcaedf3-b2fb-47da-a2ee-3e38c9cb8311,2023-02-12 14:00:34,86
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,7,DM 7,,UV100,Bazer,SEDES,,2023-02-12 00:00:00,Mañana,Gleisy Ferreira,Vanessa Aruata,Dr.izabel vallejos,218725459,8e095d80-a9a6-4692-8dcb-50efb290c469,2023-02-12 14:00:43,87
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,DM 6,,,,SEDES,,2023-02-12 00:00:00,Mañana,Yudith Velázquez,Liseth Rojas,Karen Duri,218725461,41722e32-7026-4d52-ad48-3a3e631daed0,2023-02-12 14:00:45,88
Santa Cruz,Andrés Ibañez,Santa Cruz de la Sierra,Santa Cruz,,,,,,Municipio,,2023-02-12 00:00:00,,María Rosa Barriga,María Ruth Macías,,218725483,0fc24482-cf5e-4a69-928c-b0e9e6b8fefe,2023-02-12 14:00:54,89
